odom_x, odom_y, odom_th, stamp, 
0.38400277495384216, 0.18577834963798523, -0.11964769825616774, 1732895414867236209, 
0.38879215717315674, 0.18510065972805023, -0.1324420056556538, 1732895414918317338, 
0.3935609757900238, 0.18443596363067627, -0.1477359197747648, 1732895414968514258, 
0.3981854319572449, 0.18381722271442413, -0.16361534350176282, 1732895415015335867, 
0.45618104934692383, 0.17109578847885132, -0.27486885951996926, 1732895417431590233, 
0.45618104934692383, 0.17109578847885132, -0.27486881549911935, 1732895417480870573, 
0.45618104934692383, 0.17109578847885132, -0.27486883470348455, 1732895417522348353, 
0.4561809301376343, 0.1710960417985916, -0.2748710702748052, 1732895417571247644, 
0.45653843879699707, 0.17084594070911407, -0.2715097080074607, 1732895417627605416, 
0.45837390422821045, 0.17056776583194733, -0.25868019642501083, 1732895417666259831, 
0.462746262550354, 0.16950924694538116, -0.23623268120653312, 1732895417716450767, 
0.46837759017944336, 0.167947456240654, -0.21227740182553337, 1732895417766295608, 
0.47375667095184326, 0.16697874665260315, -0.1905525721064282, 1732895417816348779, 
0.47942590713500977, 0.1657503843307495, -0.1608863069450993, 1732895417876163829, 
0.4839816689491272, 0.16496436297893524, -0.1356786076312963, 1732895417926327011, 
0.48877009749412537, 0.1644345372915268, -0.10956374388134267, 1732895417976238090, 
0.4930509030818939, 0.16387717425823212, -0.08507215338073842, 1732895418022326250, 
0.49720820784568787, 0.16353663802146912, -0.06210856665215014, 1732895418066248871, 
0.5065733194351196, 0.163052499294281, -0.01238627340425115, 1732895418166808706, 
0.5217914581298828, 0.1633591204881668, 0.0686053725885986, 1732895418326474345, 
0.5263043642044067, 0.16366735100746155, 0.09514454552342128, 1732895418377518779, 
0.5348274111747742, 0.1645997017621994, 0.14068861252825932, 1732895418466579606, 
0.5440385341644287, 0.1660860776901245, 0.19259719453827417, 1732895418566319148, 
0.5540845394134521, 0.16831986606121063, 0.24907790844672267, 1732895418676814361, 
0.5630759000778198, 0.17073138058185577, 0.297894824473735, 1732895418774339735, 
0.5710951089859009, 0.17338129878044128, 0.3449516138079131, 1732895418866316686, 
0.5842978358268738, 0.17849420011043549, 0.4199969961206321, 1732895419014502588, 
0.5938014984130859, 0.18283675611019135, 0.4760441622124875, 1732895419127336322, 
0.59787917137146, 0.18499654531478882, 0.5003879822439342, 1732895419174314698, 
0.605553388595581, 0.18928325176239014, 0.5453676667836249, 1732895419266288570, 
0.6149437427520752, 0.19529879093170166, 0.6035584045334774, 1732895419385005120, 
0.6222700476646423, 0.20030564069747925, 0.6517295056532357, 1732895419478521222, 
0.6295487880706787, 0.2060953825712204, 0.6977828866668199, 1732895419576315756, 
0.635671854019165, 0.21158044040203094, 0.7374015191777541, 1732895419666277413, 
0.6424765586853027, 0.21789290010929108, 0.7760126371559211, 1732895419766225526, 
0.6489795446395874, 0.22440016269683838, 0.8143531036398658, 1732895419865991984, 
0.6562783122062683, 0.2322949916124344, 0.8555127381350986, 1732895419976531068, 
0.6617502570152283, 0.2393532246351242, 0.878800048814023, 1732895420067302506, 
0.66716068983078, 0.24660427868366241, 0.900047628891074, 1732895420166392578, 
0.6759912967681885, 0.25889840722084045, 0.9401756651245873, 1732895420326740531, 
0.6785362362861633, 0.2628360092639923, 0.9527228930103392, 1732895420376288170, 
0.6830555200576782, 0.2700410485267639, 0.9697523241302082, 1732895420467540744, 
0.6906896829605103, 0.28209879994392395, 0.9921013761076838, 1732895420616423959, 
0.6961281895637512, 0.2907220125198364, 1.0016035107349883, 1732895420726340515, 
0.6982294321060181, 0.294756680727005, 1.0069230112566918, 1732895420776359407, 
0.7026022672653198, 0.3018907904624939, 1.0175341240634541, 1732895420866313685, 
0.7083439826965332, 0.3115869462490082, 1.030015199115569, 1732895420987616970, 
0.7143197059631348, 0.3219650089740753, 1.0439620659465056, 1732895421127801719, 
0.714770495891571, 0.3229512870311737, 1.0464457761249844, 1732895421176451249, 
0.7149845957756042, 0.3230975270271301, 1.0476562491903805, 1732895421267443297, 
0.720400869846344, 0.3316989541053772, 1.041216258492324, 1732895421416070855, 
0.7264248728752136, 0.34192126989364624, 1.038171498406932, 1732895421526550546, 
0.7284965515136719, 0.3453628122806549, 1.0354290621981086, 1732895421576437592, 
0.7325855493545532, 0.3516787588596344, 1.028742141953205, 1732895421667312018, 
0.7403126358985901, 0.3631880283355713, 1.010348003199095, 1732895421816588859, 
0.7437267303466797, 0.36811402440071106, 1.00086112582421, 1732895421881431430, 
0.750931978225708, 0.37822800874710083, 0.9786408654793742, 1732895422022486799, 
0.7534834146499634, 0.38162893056869507, 0.970653527132384, 1732895422071310249, 
0.7587709426879883, 0.38813337683677673, 0.9568348967124127, 1732895422161404513, 
0.7675361633300781, 0.3992951214313507, 0.9329941853758165, 1732895422322456671, 
0.7705679535865784, 0.4031965732574463, 0.9253186606318126, 1732895422376314107, 
0.7756571769714355, 0.40941309928894043, 0.9134828093559503, 1732895422466305866, 
0.7843787670135498, 0.42011183500289917, 0.8925139263359235, 1732895422617546206, 
0.7870990633964539, 0.4234601855278015, 0.886436302286864, 1732895422663130822, 
0.7937425971031189, 0.430756539106369, 0.8720320047844652, 1732895422777593469, 
0.7994722723960876, 0.43635672330856323, 0.8585626054863815, 1732895422867516218, 
0.8058605194091797, 0.44341936707496643, 0.8470915506569595, 1732895422966826225, 
0.811378002166748, 0.4492834508419037, 0.8391807779105218, 1732895423062937302, 
0.8186079263687134, 0.45674455165863037, 0.8314884979161469, 1732895423178634626, 
0.824094831943512, 0.4625316560268402, 0.8269908700430485, 1732895423267114389, 
0.8302605748176575, 0.4686143100261688, 0.8207043776578202, 1732895423367558783, 
0.83649742603302, 0.4748144745826721, 0.8144178449992674, 1732895423464188362, 
0.8437848687171936, 0.4820583164691925, 0.806470735767023, 1732895423574393520, 
0.8497048616409302, 0.48830142617225647, 0.8032496735417954, 1732895423667333716, 
