x, y, th, stamp, 
-1.405791163444519, 3.330296754837036, 1.2714229994269362, 1731679453684595706, 
-1.3945856094360352, 3.368664503097534, 1.3071751683475605, 1731679453783792707, 
-1.385552167892456, 3.4036202430725098, 1.3411200951771178, 1731679453874174088, 
-1.3811306953430176, 3.4229021072387695, 1.3593888516554629, 1731679453924514694, 
-1.3725463151931763, 3.4661338329315186, 1.3980747322120088, 1731679454034621603, 
-1.3634161949157715, 3.5258262157440186, 1.454230150651635, 1731679454184807745, 
-1.359620451927185, 3.5613434314727783, 1.4886539128154412, 1731679454274101512, 
-1.3565858602523804, 3.605238199234009, 1.53047051197735, 1731679454383889700, 
-1.355695366859436, 3.62549090385437, 1.5481763515490858, 1731679454433733940, 
-1.3555433750152588, 3.6837074756622314, 1.6001358184859393, 1731679454579732063, 
-1.3562589883804321, 3.7078826427459717, 1.6217860524062717, 1731679454639769561, 
-1.357305884361267, 3.723174571990967, 1.6351407706116263, 1731679454678829970, 
-1.3648579120635986, 3.8029403686523438, 1.7048476163259885, 1731679454880537914, 
-1.3675270080566406, 3.822397470474243, 1.7235294094243847, 1731679454929569637, 
-1.3788748979568481, 3.884669065475464, 1.7792889965067835, 1731679455089608955, 
-1.3877058029174805, 3.923518657684326, 1.813823918067665, 1731679455189615106, 
-1.3926640748977661, 3.943052291870117, 1.8321647046801008, 1731679455239583261, 
-1.4021637439727783, 3.9774200916290283, 1.8641870516185852, 1731679455328795051, 
-1.4207098484039307, 4.034200191497803, 1.9147449901932323, 1731679455478704202, 
-1.4261103868484497, 4.049132823944092, 1.9292021695350534, 1731679455519640530, 
-1.4504590034484863, 4.10948371887207, 1.98990905524277, 1731679455684620611, 
-1.458807110786438, 4.12778377532959, 2.007546376139911, 1731679455733651134, 
-1.4779598712921143, 4.167791366577148, 2.0458850937520565, 1731679455845559912, 
-1.5035197734832764, 4.215400695800781, 2.09453864271034, 1731679455983737992, 
-1.5179048776626587, 4.24029016494751, 2.1263503986225474, 1731679456083685100, 
-1.5285534858703613, 4.257664203643799, 2.146988165980032, 1731679456185164946, 
-1.5360437631607056, 4.268908500671387, 2.1622991429811527, 1731679456244608200, 
-1.562968373298645, 4.307417392730713, 2.2106672330448314, 1731679456383698804, 
-1.5755691528320312, 4.324094295501709, 2.226162060031384, 1731679456434639650, 
-1.600508213043213, 4.355340957641602, 2.2594881879101263, 1731679456533709115, 
-1.6238731145858765, 4.383190155029297, 2.291700592487174, 1731679456625425235, 
-1.6557930707931519, 4.418555736541748, 2.335664283432534, 1731679456745110028, 
-1.6953401565551758, 4.458098411560059, 2.386632030231494, 1731679456883791648, 
-1.7246474027633667, 4.485135078430176, 2.424205888263074, 1731679456985618098, 
-1.7582064867019653, 4.5134053230285645, 2.4652080220466135, 1731679457094280432, 
-1.7864484786987305, 4.53556489944458, 2.497685849165518, 1731679457183654894, 
-1.8181629180908203, 4.558719635009766, 2.5342397572950754, 1731679457284568507, 
-1.8514829874038696, 4.581234931945801, 2.569930066653246, 1731679457385612410, 
-1.8820008039474487, 4.600198268890381, 2.603965722457566, 1731679457473662135, 
-1.9204742908477783, 4.622199058532715, 2.645977283811717, 1731679457584629195, 
-1.9560519456863403, 4.640652656555176, 2.681950797328997, 1731679457684624471, 
-1.992048740386963, 4.657851696014404, 2.7210664943663696, 1731679457785722044, 
-2.025315284729004, 4.672286510467529, 2.7524785544364243, 1731679457874046830, 
-2.0663368701934814, 4.688455104827881, 2.791261657810752, 1731679457983733077, 
-2.1040167808532715, 4.701713562011719, 2.8288621945201036, 1731679458084575555, 
-2.140509843826294, 4.712953567504883, 2.864628779078671, 1731679458180607367, 
-2.176997184753418, 4.722839832305908, 2.8978838467719528, 1731679458274070603, 
-2.2201006412506104, 4.732821464538574, 2.937246774771386, 1731679458384641391, 
-2.2591865062713623, 4.74033260345459, 2.97423814984298, 1731679458483782641, 
-2.278790235519409, 4.74357271194458, 2.992927806026864, 1731679458534728784, 
-2.322875499725342, 4.749325275421143, 3.0318050522288544, 1731679458644221485, 
-2.3607096672058105, 4.753098011016846, 3.0656604768621154, 1731679458740345491, 
-2.3978829383850098, 4.755410671234131, 3.1022546273476634, 1731679458833857126, 
-2.4380736351013184, 4.756269931793213, 3.1380097867237993, 1731679458935624295, 
-2.4822700023651123, 4.755733489990234, -3.1066589361316894, 1731679459044429918, 
-2.5382702350616455, 4.75261116027832, -3.0518391063334165, 1731679459184649138, 
-2.578369379043579, 4.74836540222168, -3.0157180044681735, 1731679459283767302, 
-2.5980637073516846, 4.745792865753174, -2.996760122481526, 1731679459334754949, 
-2.6414027214050293, 4.738677024841309, -2.9536578591205362, 1731679459444580009, 
-2.678978443145752, 4.731105327606201, -2.918395275978895, 1731679459539894688, 
-2.7350521087646484, 4.717283725738525, -2.8673937007035364, 1731679459683769902, 
-2.754471778869629, 4.711732864379883, -2.8488039795018487, 1731679459734729483, 
-2.8071975708007812, 4.694494247436523, -2.797510909141157, 1731679459874219218, 
-2.8485922813415527, 4.679089069366455, -2.7592527801308795, 1731679459983746287, 
-2.8850927352905273, 4.663668632507324, -2.7215458796379206, 1731679460084597624, 
-2.919563055038452, 4.647657871246338, -2.687277897504457, 1731679460179657005, 
-2.953796625137329, 4.630310535430908, -2.6535520100217735, 1731679460275346168, 
-2.9922940731048584, 4.608957767486572, -2.616761229746531, 1731679460383858506, 
-3.026008129119873, 4.588696479797363, -2.581129067741188, 1731679460484603063, 
-3.058473587036133, 4.567739963531494, -2.545501749408952, 1731679460580711634, 
-3.0887868404388428, 4.546487808227539, -2.513710637989838, 1731679460674252207, 
-3.1240813732147217, 4.520157814025879, -2.471531888283276, 1731679460783669984, 
-3.155100107192993, 4.494931221008301, -2.4340513977537133, 1731679460884609079, 
-3.184413194656372, 4.469107627868652, -2.4024590753978954, 1731679460980748649, 
-3.2115767002105713, 4.443725109100342, -2.3675649386345645, 1731679461074073584, 
-3.242684841156006, 4.412776470184326, -2.3250647797723496, 1731679461184674630, 
-3.256258487701416, 4.398103713989258, -2.3064870976483336, 1731679461233653511, 
-3.294652223587036, 4.3536272048950195, -2.2525876368543907, 1731679461380759249, 
-3.3178281784057617, 4.324361324310303, -2.2174219781730895, 1731679461473906344, 
-3.343942880630493, 4.288696765899658, -2.1778471212138824, 1731679461584743906, 
-3.3663651943206787, 4.255279541015625, -2.140438038728792, 1731679461685619236, 
-3.3869705200195312, 4.222230911254883, -2.10637278336226, 1731679461780722698, 
-3.405649423599243, 4.1899733543396, -2.070022963991183, 1731679461874222578, 
-3.4262101650238037, 4.1507415771484375, -2.0315837761396427, 1731679461984822034, 
-3.4434382915496826, 4.114971160888672, -1.9951679556973771, 1731679462083786457, 
-3.4592204093933105, 4.07921028137207, -1.9571608485582492, 1731679462180820214, 
-3.4730067253112793, 4.044334411621094, -1.9247856653301851, 1731679462275238448, 
-3.4876673221588135, 4.002773761749268, -1.8852596258860181, 1731679462384703892, 
-3.499440908432007, 3.9646148681640625, -1.8469576540025605, 1731679462483688225, 
-3.504664421081543, 3.945535898208618, -1.8280151375842726, 1731679462535675110, 
-3.5180418491363525, 3.890976905822754, -1.7785708798198805, 1731679462674646260, 
-3.526597738265991, 3.8474526405334473, -1.7387417805998788, 1731679462784887851, 
-3.5326550006866455, 3.807877540588379, -1.701814544889838, 1731679462885390830, 
-3.5373311042785645, 3.7689452171325684, -1.6667289624170056, 1731679462981758144, 
-3.539409875869751, 3.7439591884613037, -1.6451289563203069, 1731679463044317878, 
-3.542713165283203, 3.6884920597076416, -1.590814895351387, 1731679463184692943, 
-3.542834520339966, 3.6481082439422607, -1.5535261153562594, 1731679463283654483, 
-3.541598320007324, 3.6089513301849365, -1.519970631724977, 1731679463381793604, 
-3.5392165184020996, 3.57224440574646, -1.4870977006874937, 1731679463474105964, 
-3.5349488258361816, 3.528318166732788, -1.4431801154183692, 1731679463584772396, 
-3.529306650161743, 3.488467216491699, -1.4080757910371395, 1731679463683700221, 
-3.5224997997283936, 3.4501874446868896, -1.3692206582934572, 1731679463781802619, 
-3.5144293308258057, 3.413416862487793, -1.3338332609125478, 1731679463873799077, 
-3.5035510063171387, 3.3708813190460205, -1.29528112341519, 1731679463984718439, 
-3.4921772480010986, 3.3322160243988037, -1.259266575787768, 1731679464083656946, 
-3.4798879623413086, 3.2956178188323975, -1.2220835383209412, 1731679464181684157, 
-3.471097230911255, 3.2719342708587646, -1.199104772353032, 1731679464245108254, 
-3.449406147003174, 3.2198946475982666, -1.1464007709680761, 1731679464384817549, 
