x, y, theta, stamp, 
0.927839457988739, 0.80666184425354, 1.1247160196378703, 1729865333013003852, 
0.9397445917129517, 0.8319786190986633, 1.1296984841529891, 1729865333102997531, 
0.9529189467430115, 0.8602433204650879, 1.1335516737903348, 1729865333201991950, 
0.9735803008079529, 0.9049648642539978, 1.1377989742554533, 1729865333362043922, 
0.9800968766212463, 0.9189876317977905, 1.1397073217725373, 1729865333413279007, 
0.9915295243263245, 0.9442985653877258, 1.1427726525539565, 1729865333503014186, 
1.0042853355407715, 0.9723552465438843, 1.1478325058186891, 1729865333602988495, 
1.0182734727859497, 1.0035078525543213, 1.153770407391754, 1729865333712176436, 
1.0306262969970703, 1.0319173336029053, 1.1592121146383896, 1729865333812026172, 
1.0418256521224976, 1.0573828220367432, 1.1628658554300693, 1729865333902992300, 
1.0542354583740234, 1.0861706733703613, 1.1650035444323839, 1729865334002996560, 
1.0661141872406006, 1.114111065864563, 1.167472561645285, 1729865334104111986, 
1.0793238878250122, 1.1456490755081177, 1.170226319309619, 1729865334211988298, 
1.0899271965026855, 1.1712578535079956, 1.1743993476586507, 1729865334302988439, 
1.101608157157898, 1.199874997138977, 1.1780878968830557, 1729865334402988214, 
1.113289713859558, 1.2282426357269287, 1.181823565085075, 1729865334503642388, 
1.1259973049163818, 1.2597057819366455, 1.1850026067754524, 1729865334612140369, 
1.1366369724273682, 1.2853351831436157, 1.1867318550866182, 1729865334703061738, 
1.1476916074752808, 1.3125884532928467, 1.187328680903687, 1729865334797990812, 
1.1615164279937744, 1.346526861190796, 1.1896972289701955, 1729865334916413481, 
1.171572208404541, 1.3720625638961792, 1.1925041467506607, 1729865335007384712, 
1.182677984237671, 1.4000672101974487, 1.1963945094015092, 1729865335106886163, 
1.1930125951766968, 1.4267481565475464, 1.197952652471619, 1729865335198993975, 
1.206287145614624, 1.4605209827423096, 1.2011611504729145, 1729865335316165623, 
1.2169384956359863, 1.488024115562439, 1.201107034206022, 1729865335413273206, 
1.2269928455352783, 1.5141748189926147, 1.2010260633088323, 1729865335504190025, 
1.2435802221298218, 1.5570279359817505, 1.2017169374925702, 1729865335652859204, 
1.2556418180465698, 1.588608980178833, 1.2015247466236743, 1729865335762932453, 
1.2613037824630737, 1.602760910987854, 1.2039444991801616, 1729865335812615909, 
1.271050214767456, 1.6288176774978638, 1.2053295411041498, 1729865335904170971, 
1.2822426557540894, 1.6578829288482666, 1.2070231082799534, 1729865336003093849, 
1.2933814525604248, 1.6863553524017334, 1.2060124619393362, 1729865336103293601, 
1.305702567100525, 1.7176945209503174, 1.2050642276545138, 1729865336213002647, 
1.3154797554016113, 1.7435539960861206, 1.2035536362648538, 1729865336303031387, 
1.3267176151275635, 1.7719147205352783, 1.2047788078185337, 1729865336402985753, 
1.3389278650283813, 1.8034454584121704, 1.205651207943439, 1729865336513209862, 
1.3498077392578125, 1.8321216106414795, 1.2074224508045126, 1729865336613008817, 
1.3597160577774048, 1.857956051826477, 1.2101230693123946, 1729865336703005684, 
1.3707903623580933, 1.8867809772491455, 1.2100545406426109, 1729865336802983792, 
1.3863826990127563, 1.9269328117370605, 1.2085847719460112, 1729865336943214209, 
1.3939902782440186, 1.9469388723373413, 1.2068728531343642, 1729865337013153419, 
1.4040474891662598, 1.9730048179626465, 1.208044654334441, 1729865337102967020, 
1.4149421453475952, 2.001692533493042, 1.208807814457699, 1729865337202968543, 
1.4257512092590332, 2.030425786972046, 1.2100915057324815, 1729865337303080144, 
1.4376319646835327, 2.062136650085449, 1.2139549437377601, 1729865337413184508, 
1.4473832845687866, 2.0876522064208984, 1.215142236515587, 1729865337502964276, 
1.4581197500228882, 2.117076873779297, 1.2155867959872815, 1729865337602968815, 
1.469733476638794, 2.1485276222229004, 1.2158298936949126, 1729865337713733316, 
1.4788323640823364, 2.173043966293335, 1.2183569895940953, 1729865337813152548, 
1.4870370626449585, 2.1953508853912354, 1.221535945731603, 1729865337902963359, 
1.4968128204345703, 2.221947431564331, 1.2251749930753089, 1729865338003070273, 
1.5077173709869385, 2.2528483867645264, 1.2308355160945774, 1729865338163109712, 
1.508996844291687, 2.2564821243286133, 1.231453330438769, 1729865338192372967, 
1.513412594795227, 2.2692196369171143, 1.2364161242029406, 1729865338302959477, 
1.5167648792266846, 2.2795333862304688, 1.2470551037789164, 1729865338453042676, 
1.5168323516845703, 2.279465436935425, 1.2475845688396152, 1729865338543880411, 
1.5166733264923096, 2.2789177894592285, 1.2467215201292952, 1729865338612016620, 
1.516610860824585, 2.279021978378296, 1.246032153474094, 1729865338703958254, 
1.5166723728179932, 2.2789998054504395, 1.2464738642747435, 1729865338850981217, 
1.5166587829589844, 2.27899432182312, 1.2463631596505673, 1729865338912829667, 
